index_code,date,open,close,low,high,volume,money,change,label
'000001,2008/4/14,3419.05,3296.67,3285.3,3427.88,50311706,66952393944,-5.6177,3492.89
'000001,2008/4/15,3282.57,3348.35,3212.15,3349.76,44668457,59030368638,1.5677,3296.67
'000001,2008/4/16,3349.93,3291.6,3283.08,3363.22,40091184,53205727027,-1.695,3348.35
'000001,2008/4/17,3286.41,3222.74,3180.2,3352.95,45843305,62507958589,-2.0919,3291.6
'000001,2008/4/18,3200.57,3094.67,3078.17,3203.71,43665343,54581267300,-3.974,3222.74
'000001,2008/4/21,3305.15,3116.98,3073.56,3305.17,59955293,79571085168,0.7209,3094.67
'000001,2008/4/22,3076.72,3147.79,2990.79,3148.73,48787413,58797233750,0.9887,3116.98
'000001,2008/4/23,3116.41,3278.33,3089.89,3296.72,66235125,86113923587,4.1469,3147.79
'000001,2008/4/24,3539.87,3583.03,3461.64,3593.2,142066287,1.9E+11,9.2943,3278.33
'000001,2008/4/25,3572.55,3557.75,3527.84,3658.55,129621021,1.85E+11,-0.7055,3583.03
'000001,2008/4/28,3497.38,3474.72,3460.26,3530.91,75744975,1.09E+11,-2.3337,3557.75
'000001,2008/4/29,3457.35,3523.41,3453.28,3544.23,67175250,99574311147,1.4011,3474.72
'000001,2008/4/30,3545.57,3693.11,3543.02,3705.09,107617708,1.56E+11,4.8164,3523.41
'000001,2008/5/5,3739.8,3761.01,3696.7,3768.22,99696916,1.48E+11,1.8386,3693.11
'000001,2008/5/6,3735.85,3733.5,3680.99,3786.02,98932250,1.48E+11,-0.7313,3761.01
'000001,2008/5/7,3716.45,3579.15,3577.99,3774.07,90497143,1.34E+11,-4.1343,3733.5
'000001,2008/5/8,3538.92,3656.84,3523.03,3658.05,75173242,1.09E+11,2.1707,3579.15
'000001,2008/5/9,3682.96,3613.49,3552.47,3693.16,87898425,1.29E+11,-1.1853,3656.84
